# timestamp tx ty tz qx qy qz qw
1788505283.626883030 -0.372687888 -0.283668944 1.434140550 -0.003115054 -0.004105242 0.999962248 0.006996116
1788505283.726866961 -0.368205506 -0.281415782 1.432007607 -0.003103952 -0.004125708 0.999954732 0.007992333
1788505283.826910019 -0.362002271 -0.282073959 1.430242858 -0.003095627 -0.004133015 0.999950962 0.008450349
1788505283.926872015 -0.364074762 -0.281854495 1.429248667 -0.003104024 -0.004136389 0.999952247 0.008292088
1788505284.026868105 -0.366585955 -0.281775611 1.428404756 -0.003106016 -0.004135470 0.999948953 0.008679934
1788505284.126876116 -0.371105338 -0.281108166 1.433596239 -0.003107294 -0.004138580 0.999954579 0.008003491
1788505284.226922035 -0.382249065 -0.282060680 1.435665260 -0.003099820 -0.004148325 0.999954567 0.008002927
1788505284.326968908 -0.378654465 -0.283822737 1.434609892 -0.003111391 -0.004136084 0.999958121 0.007547764
1788505284.426971912 -0.381084863 -0.284830058 1.439013866 -0.003117945 -0.004153318 0.999953082 0.008176877
1788505284.527061939 -0.372319130 -0.282067988 1.439889390 -0.003141071 -0.004154600 0.999958114 0.007526174
1788505284.627187967 -0.376923272 -0.285475363 1.437689870 -0.003132841 -0.004164415 0.999954664 0.007969495
1788505284.727083921 -0.374817457 -0.287224384 1.437936962 -0.003135953 -0.004171269 0.999959305 0.007358930
1788505284.827059984 -0.376699726 -0.287472528 1.436744234 -0.003146324 -0.004155343 0.999959426 0.007347075
1788505284.927053928 -0.373538672 -0.282285535 1.436554428 -0.003132348 -0.004160680 0.999960075 0.007261262
1788505285.027012110 -0.371329156 -0.284956859 1.435249966 -0.003130963 -0.004156168 0.999959829 0.007298203
1788505285.127031088 -0.371788378 -0.281050712 1.432014528 -0.003121372 -0.004175096 0.999958760 0.007436627
1788505285.226969957 -0.373096749 -0.280842834 1.430255505 -0.003122674 -0.004177998 0.999957294 0.007629178
1788505285.326967001 -0.371456240 -0.284311674 1.431264551 -0.003133628 -0.004189367 0.999956410 0.007733543
1788505285.427014112 -0.374707305 -0.283096896 1.429374454 -0.003130043 -0.004191521 0.999956598 0.007709500
1788505285.527009964 -0.374453500 -0.284505789 1.429141603 -0.003139867 -0.004199416 0.999958142 0.007497999
1788505285.627048969 -0.368747977 -0.282155006 1.427783233 -0.003130715 -0.004202225 0.999955521 0.007841904
1788505285.727056026 -0.372583996 -0.279156425 1.429119668 -0.003152582 -0.004195643 0.999959742 0.007278160
1788505285.827050924 -0.372849441 -0.275627909 1.426781944 -0.003136506 -0.004206106 0.999959132 0.007362494
1788505285.927057028 -0.374161358 -0.277659036 1.427570272 -0.003145104 -0.004197540 0.999960547 0.007168970
1788505286.027067900 -0.375510649 -0.281546879 1.428814077 -0.003136594 -0.004200639 0.999957974 0.007521024
1788505286.127003908 -0.371873528 -0.282852166 1.429440257 -0.003135660 -0.004208680 0.999958249 0.007480242
1788505286.226973057 -0.373794251 -0.283096576 1.430468711 -0.003140258 -0.004209994 0.999960208 0.007210882
1788505286.326963902 -0.374962544 -0.284457432 1.431737870 -0.003151898 -0.004215587 0.999958905 0.007381246
1788505286.427042007 -0.370469236 -0.282497747 1.430229084 -0.003150785 -0.004210075 0.999958844 0.007393136
1788505286.526994944 -0.372265220 -0.281564214 1.428085558 -0.003148326 -0.004210516 0.999960630 0.007148327
1788505286.627038002 -0.369533213 -0.283522881 1.427008044 -0.003148959 -0.004203277 0.999960464 0.007175455
1788505286.727026939 -0.369304709 -0.284159246 1.427214821 -0.003144436 -0.004195736 0.999960002 0.007245928
1788505286.827035904 -0.371761225 -0.284162757 1.429726488 -0.003157571 -0.004200191 0.999961111 0.007082665
1788505286.927021027 -0.375826977 -0.282530415 1.430140039 -0.003144908 -0.004211349 0.999960873 0.007115241
1788505287.026985884 -0.371817450 -0.280307994 1.429416229 -0.003147692 -0.004211994 0.999958355 0.007459202
1788505287.126956940 -0.374338735 -0.283225664 1.429962816 -0.003176624 -0.004198621 0.999961600 0.007005616
1788505287.226927996 -0.371006293 -0.282537056 1.430232408 -0.003156289 -0.004212912 0.999958933 0.007377090
1788505287.326920033 -0.376452651 -0.280388429 1.428430383 -0.003130654 -0.004213716 0.999961487 0.007033388
1788505287.426892042 -0.377699616 -0.280263447 1.427935464 -0.003146078 -0.004196412 0.999959961 0.007250442
1788505287.526978016 -0.374452223 -0.281134655 1.428787594 -0.003138959 -0.004204429 0.999959330 0.007335446
1788505287.626929998 -0.374638866 -0.280181230 1.430864554 -0.003149194 -0.004211442 0.999959525 0.007300350
1788505287.726929903 -0.370257966 -0.281752939 1.430772617 -0.003166644 -0.004208471 0.999961260 0.007052669
1788505287.826991081 -0.372543766 -0.281682245 1.429952086 -0.003149162 -0.004215999 0.999958375 0.007453617
1788505287.927012920 -0.370854733 -0.283295381 1.428566134 -0.003150832 -0.004206444 0.999959172 0.007350692
1788505288.027040005 -0.373328419 -0.280949559 1.427442576 -0.003146076 -0.004206624 0.999959939 0.007247493
1788505288.127069950 -0.374151309 -0.279214724 1.429369440 -0.003151886 -0.004196661 0.999960283 0.007203259
1788505288.227096081 -0.371025843 -0.283083273 1.434754290 -0.003142254 -0.004215609 0.999958066 0.007498025
1788505288.327085972 -0.372815064 -0.282986804 1.434893613 -0.003156401 -0.004210780 0.999959647 0.007280888
